company,event_count,is_repeated,first_layoff_date,last_layoff_date,timespan_days,mean_inter_event_days,min_inter_event_days,total_laid_off,mean_laid_off,max_laid_off,mean_percentage,median_percentage,max_percentage,industry,industry_group,stage,stage_group,country,region,funds_raised,funds_raised_log,total_laid_off_log,max_laid_off_log,cluster,Theoretical_Archetype
#Paid,1,False,2023-01-27,2023-01-27,0,,,19.0,19.0,19.0,0.17,0.17,0.17,Marketing,Marketing & Media,Series B,Expansion Stage (Series B),Canada,North America,21.0,3.091042453358316,2.995732273553991,2.995732273553991,1,Severe Single-Wave Resets (Deep Structural Cuts)
&Open,1,False,2022-11-17,2022-11-17,0,,,9.0,9.0,9.0,0.09,0.09,0.09,Marketing,Marketing & Media,Series A,Early Venture (Series A),Ireland,Europe,35.0,3.58351893845611,2.302585092994046,2.302585092994046,1,Severe Single-Wave Resets (Deep Structural Cuts)
10X Genomics,1,False,2022-08-04,2022-08-04,0,,,100.0,100.0,100.0,0.08,0.08,0.08,Healthcare,Healthcare & BioTech,Post-IPO,Public (Post-IPO),United States,North America,242.0,5.493061443340548,4.61512051684126,4.61512051684126,1,Severe Single-Wave Resets (Deep Structural Cuts)
1K Kirana,1,False,2023-04-04,2023-04-04,0,,,600.0,600.0,600.0,0.4,0.4,0.4,Retail,Consumer & Retail,Series B,Expansion Stage (Series B),India,Asia-Pacific,,5.159055299214529,6.398594934535208,6.398594934535208,1,Severe Single-Wave Resets (Deep Structural Cuts)
1stdibs,1,False,2020-04-02,2020-04-02,0,,,70.0,70.0,70.0,0.17,0.17,0.17,Retail,Consumer & Retail,Series D,Late Stage (Series C-D),United States,North America,253.0,5.537334267018537,4.2626798770413155,4.2626798770413155,1,Severe Single-Wave Resets (Deep Structural Cuts)
23andMe,3,True,2023-06-09,2024-11-11,521,260.5,60.0,346.0,115.33333333333333,200.0,0.20000000000000004,0.11,0.4,Healthcare,Healthcare & BioTech,Post-IPO,Public (Post-IPO),United States,North America,1100.0,7.00397413672268,5.849324779946859,5.303304908059076,2,"Enterprise Mega-Downscalers (High Capitalization, Scaled Magnitude)"
2TM,2,True,2022-06-01,2022-09-01,92,92.0,92.0,190.0,95.0,100.0,0.135,0.135,0.15,Crypto,Fintech & Financial Services,Unknown,Unspecified / Private,Brazil,Latin America,250.0,5.5254529391317835,5.25227342804663,4.61512051684126,1,Severe Single-Wave Resets (Deep Structural Cuts)
54gene,1,False,2022-08-29,2022-08-29,0,,,95.0,95.0,95.0,0.3,0.3,0.3,Healthcare,Healthcare & BioTech,Series B,Expansion Stage (Series B),United States,North America,44.0,3.8066624897703196,4.564348191467836,4.564348191467836,1,Severe Single-Wave Resets (Deep Structural Cuts)
6sense,1,False,2022-10-12,2022-10-12,0,,,150.0,150.0,150.0,0.1,0.1,0.1,Sales,Professional Services,Series E,Growth Stage (Series E+),United States,North America,426.0,6.056784013228625,5.017279836814924,5.017279836814924,1,Severe Single-Wave Resets (Deep Structural Cuts)
7Shifts,1,False,2024-01-11,2024-01-11,0,,,68.0,68.0,68.0,0.19,0.19,0.19,Food,Consumer & Retail,Series C,Late Stage (Series C-D),Canada,North America,131.0,4.882801922586371,4.23410650459726,4.23410650459726,1,Severe Single-Wave Resets (Deep Structural Cuts)
7shifts,1,False,2023-09-15,2023-09-15,0,,,30.0,30.0,30.0,0.07,0.07,0.07,Food,Consumer & Retail,Series C,Late Stage (Series C-D),Canada,North America,131.0,4.882801922586371,3.4339872044851463,3.4339872044851463,1,Severe Single-Wave Resets (Deep Structural Cuts)
8x8,2,True,2022-10-04,2023-01-18,106,106.0,106.0,355.0,177.5,200.0,0.08,0.08,0.09,Support,Enterprise & Infrastructure,Post-IPO,Public (Post-IPO),United States,North America,253.0,5.537334267018537,5.87493073085203,5.303304908059076,1,Severe Single-Wave Resets (Deep Structural Cuts)
91Trucks,1,False,2026-06-22,2026-06-22,0,,,100.0,100.0,100.0,0.7,0.7,0.7,Transportation,Travel & Transportation,Series A,Early Venture (Series A),India,Asia-Pacific,5.0,1.791759469228055,4.61512051684126,4.61512051684126,0,Targeted Multi-Wave Downscalers (Iterative Restructuring)
99,1,False,2022-09-20,2022-09-20,0,,,75.0,75.0,75.0,0.02,0.02,0.02,Transportation,Travel & Transportation,Acquired,Acquired / Subsidiary,Brazil,Latin America,244.0,5.501258210544727,4.330733340286331,4.330733340286331,1,Severe Single-Wave Resets (Deep Structural Cuts)
AEye,1,False,2023-03-28,2023-03-28,0,,,46.0,46.0,46.0,0.33,0.33,0.33,Transportation,Travel & Transportation,Post-IPO,Public (Post-IPO),United States,North America,314.0,5.752572638825633,3.8501476017100584,3.8501476017100584,1,Severe Single-Wave Resets (Deep Structural Cuts)
AI21 Labs,1,False,2026-05-18,2026-05-18,0,,,110.0,110.0,110.0,0.61,0.61,0.61,AI,Other / Diversified,Series D,Late Stage (Series C-D),Israel,Middle East,626.0,6.440946540632921,4.709530201312334,4.709530201312334,0,Targeted Multi-Wave Downscalers (Iterative Restructuring)
AMD,1,False,2024-11-13,2024-11-13,0,,,1000.0,1000.0,1000.0,0.04,0.04,0.04,Hardware,Hardware & Manufacturing,Post-IPO,Public (Post-IPO),United States,North America,,5.159055299214529,6.90875477931522,6.90875477931522,1,Severe Single-Wave Resets (Deep Structural Cuts)
AU10TIX,1,False,2023-01-31,2023-01-31,0,,,19.0,19.0,19.0,0.09,0.09,0.09,Security,Enterprise & Infrastructure,Unknown,Unspecified / Private,Israel,Middle East,80.0,4.394449154672439,2.995732273553991,2.995732273553991,1,Severe Single-Wave Resets (Deep Structural Cuts)
Abra,1,False,2022-06-30,2022-06-30,0,,,12.0,12.0,12.0,0.05,0.05,0.05,Crypto,Fintech & Financial Services,Series C,Late Stage (Series C-D),United States,North America,106.0,4.672828834461906,2.5649493574615367,2.5649493574615367,1,Severe Single-Wave Resets (Deep Structural Cuts)
Absci,2,True,2022-08-09,2023-09-05,392,392.0,392.0,70.0,35.0,40.0,0.15,0.15,0.15,Healthcare,Healthcare & BioTech,Post-IPO,Public (Post-IPO),United States,North America,238.0,5.476463551931511,4.2626798770413155,3.713572066704308,1,Severe Single-Wave Resets (Deep Structural Cuts)
Absolute Software,1,False,2023-04-06,2023-04-06,0,,,40.0,40.0,40.0,0.05,0.05,0.05,Security,Enterprise & Infrastructure,Post-IPO,Public (Post-IPO),Canada,North America,,5.159055299214529,3.713572066704308,3.713572066704308,1,Severe Single-Wave Resets (Deep Structural Cuts)
Acast,1,False,2022-09-15,2022-09-15,0,,,70.0,70.0,70.0,0.15,0.15,0.15,Media,Marketing & Media,Post-IPO,Public (Post-IPO),Sweden,Europe,126.0,4.844187086458591,4.2626798770413155,4.2626798770413155,1,Severe Single-Wave Resets (Deep Structural Cuts)
Acko,2,True,2020-04-01,2026-04-20,2210,2210.0,2210.0,105.0,52.5,60.0,0.07,0.07,0.09,Finance,Fintech & Financial Services,Unknown,Unspecified / Private,India,Asia-Pacific,143.0,4.969813299576001,4.663439094112067,4.110873864173311,2,"Enterprise Mega-Downscalers (High Capitalization, Scaled Magnitude)"
ActiveFence,1,False,2025-03-13,2025-03-13,0,,,22.0,22.0,22.0,0.07,0.07,0.07,Security,Enterprise & Infrastructure,Series B,Expansion Stage (Series B),United States,North America,100.0,4.61512051684126,3.1354942159291497,3.1354942159291497,1,Severe Single-Wave Resets (Deep Structural Cuts)
Acxiom,2,True,2023-04-11,2025-03-19,708,708.0,708.0,130.0,130.0,130.0,0.03,0.03,0.03,Marketing,Marketing & Media,Post-IPO,Public (Post-IPO),United States,North America,,5.159055299214529,4.875197323201151,4.875197323201151,1,Severe Single-Wave Resets (Deep Structural Cuts)
AdRoll,1,False,2020-03-31,2020-03-31,0,,,210.0,210.0,210.0,0.3,0.3,0.3,Marketing,Marketing & Media,Series C,Late Stage (Series C-D),United States,North America,89.0,4.499809670330265,5.351858133476067,5.351858133476067,1,Severe Single-Wave Resets (Deep Structural Cuts)
Ada,2,True,2022-09-20,2023-02-01,134,134.0,134.0,78.0,78.0,78.0,0.16,0.16,0.16,Support,Enterprise & Infrastructure,Series C,Late Stage (Series C-D),Canada,North America,190.0,5.25227342804663,4.3694478524670215,4.3694478524670215,1,Severe Single-Wave Resets (Deep Structural Cuts)
Ada Support,1,False,2020-04-24,2020-04-24,0,,,36.0,36.0,36.0,0.23,0.23,0.23,Support,Enterprise & Infrastructure,Series B,Expansion Stage (Series B),Canada,North America,60.0,4.110873864173311,3.6109179126442243,3.6109179126442243,1,Severe Single-Wave Resets (Deep Structural Cuts)
Adaptive Biotechnologies,1,False,2022-03-08,2022-03-08,0,,,100.0,100.0,100.0,0.12,0.12,0.12,Healthcare,Healthcare & BioTech,Post-IPO,Public (Post-IPO),United States,North America,406.0,6.008813185442595,4.61512051684126,4.61512051684126,1,Severe Single-Wave Resets (Deep Structural Cuts)
Adda247,2,True,2023-10-14,2026-05-10,939,939.0,939.0,500.0,250.0,300.0,0.2,0.2,0.2,Education,EdTech & Learning,Series B,Expansion Stage (Series B),India,Asia-Pacific,61.0,4.127134385045092,6.2166061010848646,5.707110264748875,2,"Enterprise Mega-Downscalers (High Capitalization, Scaled Magnitude)"
Addepar,1,False,2023-01-18,2023-01-18,0,,,20.0,20.0,20.0,0.03,0.03,0.03,Finance,Fintech & Financial Services,Series F,Growth Stage (Series E+),United States,North America,491.0,6.198478716492308,3.044522437723423,3.044522437723423,1,Severe Single-Wave Resets (Deep Structural Cuts)
Advata,1,False,2022-10-28,2022-10-28,0,,,32.0,32.0,32.0,0.21,0.21,0.21,Healthcare,Healthcare & BioTech,Unknown,Unspecified / Private,United States,North America,,5.159055299214529,3.4965075614664802,3.4965075614664802,1,Severe Single-Wave Resets (Deep Structural Cuts)
Affirm,3,True,2022-11-03,2024-02-21,475,237.5,97.0,560.0,280.0,500.0,0.1,0.1,0.19,Finance,Fintech & Financial Services,Post-IPO,Public (Post-IPO),United States,North America,1500.0,7.313886831633462,6.329720905522696,6.2166061010848646,2,"Enterprise Mega-Downscalers (High Capitalization, Scaled Magnitude)"
Afterverse,1,False,2022-06-03,2022-06-03,0,,,60.0,60.0,60.0,0.2,0.2,0.2,Consumer,Consumer & Retail,Unknown,Unspecified / Private,Brazil,Latin America,,5.159055299214529,4.110873864173311,4.110873864173311,1,Severe Single-Wave Resets (Deep Structural Cuts)
AgentSync,1,False,2023-07-19,2023-07-19,0,,,67.0,67.0,67.0,0.24,0.24,0.24,Finance,Fintech & Financial Services,Series B,Expansion Stage (Series B),United States,North America,111.0,4.718498871295094,4.219507705176107,4.219507705176107,1,Severe Single-Wave Resets (Deep Structural Cuts)
Agoda,1,False,2020-05-18,2020-05-18,0,,,1500.0,1500.0,1500.0,0.25,0.25,0.25,Travel,Travel & Transportation,Acquired,Acquired / Subsidiary,Singapore,Asia-Pacific,,5.159055299214529,7.313886831633462,7.313886831633462,1,Severe Single-Wave Resets (Deep Structural Cuts)
Ahead,1,False,2022-04-14,2022-04-14,0,,,44.0,44.0,44.0,1.0,1.0,1.0,Healthcare,Healthcare & BioTech,Unknown,Unspecified / Private,United States,North America,9.0,2.302585092994046,3.8066624897703196,3.8066624897703196,0,Targeted Multi-Wave Downscalers (Iterative Restructuring)
Airbnb,2,True,2020-05-05,2023-03-03,1032,1032.0,1032.0,1930.0,965.0,1900.0,0.25,0.25,0.25,Travel,Travel & Transportation,Post-IPO,Public (Post-IPO),United States,North America,6400.0,8.764209507142004,7.565793282428515,7.550135342488429,2,"Enterprise Mega-Downscalers (High Capitalization, Scaled Magnitude)"
Airmeet,2,True,2023-05-25,2024-03-19,299,299.0,299.0,75.0,75.0,75.0,0.25,0.25,0.3,Marketing,Marketing & Media,Series B,Expansion Stage (Series B),India,Asia-Pacific,50.0,3.9318256327243257,4.330733340286331,4.330733340286331,1,Severe Single-Wave Resets (Deep Structural Cuts)
Airtable,2,True,2022-12-08,2023-09-14,280,280.0,280.0,491.0,245.5,254.0,0.23500000000000001,0.23500000000000001,0.27,Product,Other / Diversified,Series F,Growth Stage (Series E+),United States,North America,1400.0,7.244941546337007,6.198478716492308,5.541263545158426,2,"Enterprise Mega-Downscalers (High Capitalization, Scaled Magnitude)"
Airtasker,2,True,2022-07-04,2023-04-27,297,297.0,297.0,45.0,45.0,45.0,0.2,0.2,0.2,Retail,Consumer & Retail,Series C,Late Stage (Series C-D),Australia,Asia-Pacific,26.0,3.295836866004329,3.828641396489095,3.828641396489095,1,Severe Single-Wave Resets (Deep Structural Cuts)
Airtime,2,True,2022-05-23,2025-06-04,1108,1108.0,1108.0,55.0,27.5,30.0,0.315,0.315,0.43,Consumer,Consumer & Retail,Series B,Expansion Stage (Series B),United States,North America,33.0,3.5263605246161616,4.02535169073515,3.4339872044851463,1,Severe Single-Wave Resets (Deep Structural Cuts)
Ajaib,1,False,2022-11-28,2022-11-28,0,,,67.0,67.0,67.0,0.08,0.08,0.08,Finance,Fintech & Financial Services,Unknown,Unspecified / Private,Indonesia,Asia-Pacific,245.0,5.5053315359323625,4.219507705176107,4.219507705176107,1,Severe Single-Wave Resets (Deep Structural Cuts)
Akamai,2,True,2023-05-09,2024-11-07,548,548.0,548.0,540.0,270.0,290.0,0.025,0.025,0.03,Security,Enterprise & Infrastructure,Post-IPO,Public (Post-IPO),United States,North America,35.0,3.58351893845611,6.293419278846481,5.673323267171493,1,Severe Single-Wave Resets (Deep Structural Cuts)
Akili Labs,2,True,2023-01-12,2023-09-13,244,244.0,244.0,46.0,46.0,46.0,0.35,0.35,0.4,Healthcare,Healthcare & BioTech,Post-IPO,Public (Post-IPO),United States,North America,301.0,5.71042701737487,3.8501476017100584,3.8501476017100584,1,Severe Single-Wave Resets (Deep Structural Cuts)
AlayaCare,1,False,2022-08-16,2022-08-16,0,,,80.0,80.0,80.0,0.14,0.14,0.14,Healthcare,Healthcare & BioTech,Series D,Late Stage (Series C-D),Canada,North America,293.0,5.683579767338681,4.394449154672439,4.394449154672439,1,Severe Single-Wave Resets (Deep Structural Cuts)
Albert,1,False,2022-06-10,2022-06-10,0,,,20.0,20.0,20.0,0.08,0.08,0.08,Finance,Fintech & Financial Services,Series C,Late Stage (Series C-D),United States,North America,175.0,5.170483995038151,3.044522437723423,3.044522437723423,1,Severe Single-Wave Resets (Deep Structural Cuts)
Aleph Alpha,1,False,2026-01-14,2026-01-14,0,,,50.0,50.0,50.0,0.16,0.16,0.16,AI,Other / Diversified,Series B,Expansion Stage (Series B),Germany,Europe,534.0,6.282266746896006,3.9318256327243257,3.9318256327243257,1,Severe Single-Wave Resets (Deep Structural Cuts)
Aleph Farms,2,True,2024-06-05,2026-06-02,727,727.0,727.0,40.0,20.0,30.0,0.3,0.3,0.3,Food,Consumer & Retail,Unknown,Unspecified / Private,Israel,Middle East,119.0,4.787491742782046,3.713572066704308,3.4339872044851463,1,Severe Single-Wave Resets (Deep Structural Cuts)
AliExpress Russia,1,False,2022-05-14,2022-05-14,0,,,400.0,400.0,400.0,0.4,0.4,0.4,Retail,Consumer & Retail,Acquired,Acquired / Subsidiary,Russia,Other / International,60.0,4.110873864173311,5.993961427306569,5.993961427306569,1,Severe Single-Wave Resets (Deep Structural Cuts)
Alice,2,True,2022-07-11,2022-12-09,151,151.0,151.0,176.0,88.0,113.0,0.16,0.16,0.16,Healthcare,Healthcare & BioTech,Series C,Late Stage (Series C-D),Brazil,Latin America,174.0,5.1647859739235145,5.176149732573829,4.736198448394496,1,Severe Single-Wave Resets (Deep Structural Cuts)
AlphaSense,1,False,2024-11-27,2024-11-27,0,,,150.0,150.0,150.0,0.08,0.08,0.08,Other,Other / Diversified,Series F,Growth Stage (Series E+),United States,North America,1400.0,7.244941546337007,5.017279836814924,5.017279836814924,1,Severe Single-Wave Resets (Deep Structural Cuts)
Alteryx,1,False,2023-04-27,2023-04-27,0,,,320.0,320.0,320.0,0.11,0.11,0.11,Data,Enterprise & Infrastructure,Post-IPO,Public (Post-IPO),United States,North America,613.0,6.419994928147142,5.771441123130016,5.771441123130016,1,Severe Single-Wave Resets (Deep Structural Cuts)
Alto Pharmacy,2,True,2020-09-29,2022-07-14,653,653.0,653.0,47.0,47.0,47.0,0.06,0.06,0.06,Healthcare,Healthcare & BioTech,Series E,Growth Stage (Series E+),United States,North America,560.0,6.329720905522696,3.871201010907891,3.871201010907891,1,Severe Single-Wave Resets (Deep Structural Cuts)
Altruist,2,True,2025-01-07,2025-10-23,289,289.0,289.0,87.0,43.5,50.0,0.125,0.125,0.15,Finance,Fintech & Financial Services,Series E,Growth Stage (Series E+),United States,North America,449.0,6.1092475827643655,4.477336814478207,3.9318256327243257,1,Severe Single-Wave Resets (Deep Structural Cuts)
Amazon,24,True,2022-10-28,2026-09-01,1404,61.04347826086956,0.0,59560.0,3503.529411764706,16000.0,0.02,0.02,0.03,Retail,Consumer & Retail,Post-IPO,Public (Post-IPO),United States,North America,8100.0,8.999742789830492,10.994756276448804,9.680406499268875,3,"Early-Stage Capital-Constrained Exits (High Percentage, Small Scale)"
Amdocs,4,True,2023-01-02,2026-05-28,1242,414.0,185.0,2700.0,1350.0,2000.0,0.05333333333333334,0.06,0.07,Support,Enterprise & Infrastructure,Post-IPO,Public (Post-IPO),United States,North America,,5.159055299214529,7.901377353792616,7.601402334583733,2,"Enterprise Mega-Downscalers (High Capitalization, Scaled Magnitude)"
American Robotics,1,False,2023-01-17,2023-01-17,0,,,50.0,50.0,50.0,0.65,0.65,0.65,Other,Other / Diversified,Acquired,Acquired / Subsidiary,United States,North America,92.0,4.532599493153256,3.9318256327243257,3.9318256327243257,0,Targeted Multi-Wave Downscalers (Iterative Restructuring)
Amount,2,True,2022-06-27,2023-02-27,245,245.0,245.0,130.0,130.0,130.0,0.215,0.215,0.25,Finance,Fintech & Financial Services,Unknown,Unspecified / Private,United States,North America,283.0,5.648974238161206,4.875197323201151,4.875197323201151,1,Severe Single-Wave Resets (Deep Structural Cuts)
Amperity,4,True,2022-08-20,2026-06-25,1405,468.3333333333333,231.0,33.0,16.5,20.0,0.08,0.08,0.13,Marketing,Marketing & Media,Series D,Late Stage (Series C-D),United States,North America,187.0,5.236441962829949,3.5263605246161616,3.044522437723423,2,"Enterprise Mega-Downscalers (High Capitalization, Scaled Magnitude)"
Amplero,1,False,2020-03-29,2020-03-29,0,,,17.0,17.0,17.0,1.0,1.0,1.0,Marketing,Marketing & Media,Series B,Expansion Stage (Series B),United States,North America,25.0,3.258096538021482,2.8903717578961645,2.8903717578961645,0,Targeted Multi-Wave Downscalers (Iterative Restructuring)
Amplitude,1,False,2023-04-05,2023-04-05,0,,,99.0,99.0,99.0,0.13,0.13,0.13,Data,Enterprise & Infrastructure,Post-IPO,Public (Post-IPO),United States,North America,311.0,5.7430031878094825,4.605170185988092,4.605170185988092,1,Severe Single-Wave Resets (Deep Structural Cuts)
Ancestry,1,False,2024-03-14,2024-03-14,0,,,81.0,81.0,81.0,0.06,0.06,0.06,Consumer,Consumer & Retail,Post-IPO,Public (Post-IPO),United States,North America,33.0,3.5263605246161616,4.406719247264253,4.406719247264253,1,Severe Single-Wave Resets (Deep Structural Cuts)
Anchorage Digital,1,False,2023-03-14,2023-03-14,0,,,75.0,75.0,75.0,0.2,0.2,0.2,Crypto,Fintech & Financial Services,Series D,Late Stage (Series C-D),United States,North America,487.0,6.1903154058531475,4.330733340286331,4.330733340286331,1,Severe Single-Wave Resets (Deep Structural Cuts)
Andela,1,False,2020-05-05,2020-05-05,0,,,135.0,135.0,135.0,0.1,0.1,0.1,Recruiting,Professional Services,Series D,Late Stage (Series C-D),United States,North America,181.0,5.204006687076795,4.912654885736052,4.912654885736052,1,Severe Single-Wave Resets (Deep Structural Cuts)
Anodot,2,True,2022-07-06,2022-07-06,0,0.0,0.0,50.0,25.0,35.0,0.23500000000000001,0.23500000000000001,0.27,Data,Enterprise & Infrastructure,Series C,Late Stage (Series C-D),Israel,Middle East,64.0,4.174387269895637,3.9318256327243257,3.58351893845611,1,Severe Single-Wave Resets (Deep Structural Cuts)
Antidote Health,1,False,2022-10-23,2022-10-23,0,,,23.0,23.0,23.0,0.38,0.38,0.38,Healthcare,Healthcare & BioTech,Unknown,Unspecified / Private,Israel,Middle East,36.0,3.6109179126442243,3.1780538303479458,3.1780538303479458,1,Severe Single-Wave Resets (Deep Structural Cuts)
Apartment List,1,False,2022-08-31,2022-08-31,0,,,29.0,29.0,29.0,0.1,0.1,0.1,Real Estate,Real Estate & PropTech,Series D,Late Stage (Series C-D),United States,North America,169.0,5.135798437050262,3.4011973816621555,3.4011973816621555,1,Severe Single-Wave Resets (Deep Structural Cuts)
ApnaMart,1,False,2026-05-06,2026-05-06,0,,,35.0,35.0,35.0,0.1,0.1,0.1,Food,Consumer & Retail,Series B,Expansion Stage (Series B),India,Asia-Pacific,40.0,3.713572066704308,3.58351893845611,3.58351893845611,1,Severe Single-Wave Resets (Deep Structural Cuts)
App Annie,1,False,2020-04-28,2020-04-28,0,,,80.0,80.0,80.0,0.18,0.18,0.18,Data,Enterprise & Infrastructure,Unknown,Unspecified / Private,United States,North America,156.0,5.056245805348308,4.394449154672439,4.394449154672439,1,Severe Single-Wave Resets (Deep Structural Cuts)
AppFolio,2,True,2023-05-22,2023-08-17,87,87.0,87.0,211.0,105.5,149.0,0.09,0.09,0.09,Real Estate,Real Estate & PropTech,Post-IPO,Public (Post-IPO),United States,North America,30.0,3.4339872044851463,5.356586274672012,5.0106352940962555,1,Severe Single-Wave Resets (Deep Structural Cuts)
AppGate,1,False,2022-07-21,2022-07-21,0,,,130.0,130.0,130.0,0.22,0.22,0.22,Security,Enterprise & Infrastructure,Post-IPO,Public (Post-IPO),United States,North America,,5.159055299214529,4.875197323201151,4.875197323201151,1,Severe Single-Wave Resets (Deep Structural Cuts)
AppLovin,7,True,2022-06-27,2025-04-16,1024,170.66666666666666,12.0,790.0,112.85714285714286,300.0,0.12,0.12,0.12,Marketing,Marketing & Media,Post-IPO,Public (Post-IPO),United States,North America,1600.0,7.3783837129967145,6.673297967767654,5.707110264748875,2,"Enterprise Mega-Downscalers (High Capitalization, Scaled Magnitude)"
Appgate,1,False,2023-02-01,2023-02-01,0,,,34.0,34.0,34.0,0.08,0.08,0.08,Security,Enterprise & Infrastructure,Post-IPO,Public (Post-IPO),United States,North America,,5.159055299214529,3.5553480614894135,3.5553480614894135,1,Severe Single-Wave Resets (Deep Structural Cuts)
Applied Material,1,False,2025-10-23,2025-10-23,0,,,1400.0,1400.0,1400.0,0.04,0.04,0.04,Manufacturing,Hardware & Manufacturing,Post-IPO,Public (Post-IPO),United States,North America,2100.0,7.650168700845001,7.244941546337007,7.244941546337007,1,Severe Single-Wave Resets (Deep Structural Cuts)
ApplyBoard,2,True,2022-11-28,2024-09-19,661,661.0,661.0,90.0,90.0,90.0,0.05,0.05,0.06,Education,EdTech & Learning,Series D,Late Stage (Series C-D),Canada,North America,483.0,6.182084906716632,4.51085950651685,4.51085950651685,1,Severe Single-Wave Resets (Deep Structural Cuts)
AppsFlyer,1,False,2025-02-04,2025-02-04,0,,,100.0,100.0,100.0,0.07,0.07,0.07,Data,Enterprise & Infrastructure,Unknown,Unspecified / Private,United States,North America,293.0,5.683579767338681,4.61512051684126,4.61512051684126,1,Severe Single-Wave Resets (Deep Structural Cuts)
Appsmith,1,False,2023-09-22,2023-09-22,0,,,35.0,35.0,35.0,0.25,0.25,0.25,Unknown,Other / Diversified,Series B,Expansion Stage (Series B),United States,North America,51.0,3.9512437185814275,3.58351893845611,3.58351893845611,1,Severe Single-Wave Resets (Deep Structural Cuts)
Aqgromalin,1,False,2022-06-20,2022-06-20,0,,,80.0,80.0,80.0,0.3,0.3,0.3,Food,Consumer & Retail,Unknown,Unspecified / Private,India,Asia-Pacific,12.0,2.5649493574615367,4.394449154672439,4.394449154672439,1,Severe Single-Wave Resets (Deep Structural Cuts)
Aqua Security,5,True,2020-04-01,2025-12-01,2070,517.5,174.0,159.0,39.75,65.0,0.09666666666666668,0.1,0.1,Security,Enterprise & Infrastructure,Series E,Growth Stage (Series E+),United States,North America,325.0,5.786897381366708,5.075173815233827,4.189654742026425,2,"Enterprise Mega-Downscalers (High Capitalization, Scaled Magnitude)"
Archipelago,1,False,2023-08-01,2023-08-01,0,,,40.0,40.0,40.0,0.3,0.3,0.3,Real Estate,Real Estate & PropTech,Series B,Expansion Stage (Series B),United States,North America,57.0,4.060443010546419,3.713572066704308,3.713572066704308,1,Severe Single-Wave Resets (Deep Structural Cuts)
Arctic Wolf,1,False,2026-05-06,2026-05-06,0,,,250.0,250.0,250.0,0.1,0.1,0.1,Security,Enterprise & Infrastructure,Unknown,Unspecified / Private,United States,North America,899.0,6.802394763324311,5.5254529391317835,5.5254529391317835,1,Severe Single-Wave Resets (Deep Structural Cuts)
Argo AI,4,True,2020-06-29,2022-11-01,855,285.0,6.0,682.0,170.5,259.0,0.05,0.05,0.05,Transportation,Travel & Transportation,Unknown,Unspecified / Private,United States,North America,3600.0,8.188966863648876,6.52649485957079,5.560681631015528,2,"Enterprise Mega-Downscalers (High Capitalization, Scaled Magnitude)"
Argyle,1,False,2022-08-26,2022-08-26,0,,,20.0,20.0,20.0,0.07,0.07,0.07,Finance,Fintech & Financial Services,Series B,Expansion Stage (Series B),United States,North America,78.0,4.3694478524670215,3.044522437723423,3.044522437723423,1,Severe Single-Wave Resets (Deep Structural Cuts)
Arkane Studios,1,False,2024-05-08,2024-05-08,0,,,96.0,96.0,96.0,1.0,1.0,1.0,Consumer,Consumer & Retail,Unknown,Unspecified / Private,United States,North America,,5.159055299214529,4.574710978503383,4.574710978503383,0,Targeted Multi-Wave Downscalers (Iterative Restructuring)
Armis,1,False,2022-12-08,2022-12-08,0,,,25.0,25.0,25.0,0.04,0.04,0.04,Security,Enterprise & Infrastructure,Private Equity,Private Equity Owned,United States,North America,537.0,6.2878585601617845,3.258096538021482,3.258096538021482,1,Severe Single-Wave Resets (Deep Structural Cuts)
Arrival,5,True,2022-07-13,2025-03-10,971,242.75,99.0,800.0,800.0,800.0,0.5125,0.4,1.0,Transportation,Travel & Transportation,Post-IPO,Public (Post-IPO),United Kingdom,Europe,629.0,6.4457198193855785,6.68586094706836,6.68586094706836,2,"Enterprise Mega-Downscalers (High Capitalization, Scaled Magnitude)"
Arrive Logistics,1,False,2020-04-03,2020-04-03,0,,,75.0,75.0,75.0,0.07,0.07,0.07,Logistics,Travel & Transportation,Series B,Expansion Stage (Series B),United States,North America,35.0,3.58351893845611,4.330733340286331,4.330733340286331,1,Severe Single-Wave Resets (Deep Structural Cuts)
Article,1,False,2022-08-04,2022-08-04,0,,,216.0,216.0,216.0,0.17,0.17,0.17,Retail,Consumer & Retail,Series B,Expansion Stage (Series B),Canada,North America,,5.159055299214529,5.37989735354046,5.37989735354046,1,Severe Single-Wave Resets (Deep Structural Cuts)
Artlist,1,False,2026-06-16,2026-06-16,0,,,200.0,200.0,200.0,0.4,0.4,0.4,Media,Marketing & Media,Unknown,Unspecified / Private,Israel,Middle East,48.0,3.8918202981106265,5.303304908059076,5.303304908059076,1,Severe Single-Wave Resets (Deep Structural Cuts)
Artnight,1,False,2022-08-31,2022-08-31,0,,,26.0,26.0,26.0,0.36,0.36,0.36,Retail,Consumer & Retail,Unknown,Unspecified / Private,Germany,Europe,,5.159055299214529,3.295836866004329,3.295836866004329,1,Severe Single-Wave Resets (Deep Structural Cuts)
Artsy,1,False,2023-06-29,2023-06-29,0,,,35.0,35.0,35.0,0.15,0.15,0.15,Retail,Consumer & Retail,Series D,Late Stage (Series C-D),United States,North America,100.0,4.61512051684126,3.58351893845611,3.58351893845611,1,Severe Single-Wave Resets (Deep Structural Cuts)
